#WL |a|^2+|d|^2_ln00 |b|^2+|c|^2_ln00 |a|^2+|d|^2_ln01 |b|^2+|c|^2_ln01 |a|^2+|d|^2_ln02 |b|^2+|c|^2_ln02 |a|^2+|d|^2_ln10 |b|^2+|c|^2_ln10 |a|^2+|d|^2_ln11 |b|^2+|c|^2_ln11 |a|^2+|d|^2_ln12 |b|^2+|c|^2_ln12 |a|^2+|d|^2_ln20 |b|^2+|c|^2_ln20 |a|^2+|d|^2_ln21 |b|^2+|c|^2_ln21 |a|^2+|d|^2_ln22 |b|^2+|c|^2_ln22 |a|^2+|d|^2_ln30 |b|^2+|c|^2_ln30 |a|^2+|d|^2_ln31 |b|^2+|c|^2_ln31 |a|^2+|d|^2_ln32 |b|^2+|c|^2_ln32 
# |a|+|d|400.000000 0.317299 0.388654 0.027069 0.242066 0.003778 0.009534 1.387456 2.920166 1.554898 15.272500 2.124936 4.960141 1.323252 0.626370 0.102308 0.319801 0.012231 0.011560 1.468645 1.151240 1.008374 1.001136 1.000014 1.000006
411.000000 0.567202 1.173204 0.081380 0.133969 0.007629 0.015984 1.296384 6.987718 2.005751 5.237655 1.466202 4.037439 1.081970 1.786835 0.149740 0.170659 0.012430 0.018910 1.417681 1.178556 1.004874 1.000640 1.000016 1.000011
411.500000 0.585284 1.242993 0.086261 0.131704 0.007464 0.016543 1.300331 7.331984 2.050721 5.047637 1.370761 4.055065 1.079172 1.889111 0.153893 0.167548 0.011807 0.019553 1.414397 1.179152 1.004743 1.000651 1.000016 1.000011
412.000000 0.604069 1.316617 0.091496 0.129561 0.007289 0.017138 1.304716 7.691973 2.098585 4.868473 1.279637 4.077653 1.076712 1.996789 0.158291 0.164603 0.011197 0.020238 1.411049 1.179511 1.004614 1.000662 1.000016 1.000012
412.500000 0.623523 1.393599 0.097100 0.127533 0.007108 0.017769 1.309473 8.064613 2.149288 4.699577 1.193309 4.104999 1.074535 2.109124 0.162931 0.161815 0.010606 0.020965 1.407641 1.179571 1.004487 1.000674 1.000015 1.000012
413.000000 0.643612 1.473128 0.103088 0.125608 0.006922 0.018436 1.314490 8.444900 2.202737 4.539985 1.111850 4.136670 1.072531 2.224856 0.167810 0.159167 0.010035 0.021733 1.404166 1.179252 1.004362 1.000687 1.000015 1.000012
413.500000 0.664298 1.554409 0.109478 0.123780 0.006735 0.019141 1.319722 8.828270 2.258967 4.389212 1.035446 4.172680 1.070662 2.342770 0.172929 0.156650 0.009489 0.022544 1.400626 1.178490 1.004240 1.000700 1.000015 1.000013
414.000000 0.685599 1.636641 0.116297 0.122046 0.006550 0.019885 1.325170 9.210156 2.318079 4.246721 0.964159 4.213024 1.068925 2.461649 0.178299 0.154261 0.008969 0.023400 1.397026 1.177231 1.004121 1.000714 1.000014 1.000013
414.500000 0.707560 1.719115 0.123583 0.120404 0.006368 0.020671 1.330871 9.586642 2.380312 4.112043 0.897942 4.257950 1.067351 2.580426 0.183942 0.151995 0.008477 0.024305 1.393373 1.175439 1.004005 1.000728 1.000014 1.000014
415.000000 0.730234 1.800890 0.131378 0.118850 0.006191 0.021503 1.336843 9.952591 2.445874 3.984621 0.836597 4.307556 1.065946 2.697693 0.189876 0.149849 0.008015 0.025263 1.389670 1.173073 1.003891 1.000742 1.000014 1.000014
415.500000 0.753692 1.881382 0.139733 0.117387 0.006020 0.022387 1.343177 10.305145 2.515198 3.864209 0.779974 4.362502 1.064785 2.812594 0.196139 0.147825 0.007581 0.026280 1.385927 1.170126 1.003781 1.000757 1.000013 1.000015
416.000000 0.778033 1.959871 0.148715 0.116014 0.005858 0.023329 1.349937 10.640617 2.588724 3.750358 0.727784 4.423273 1.063916 2.924067 0.202768 0.145919 0.007175 0.027363 1.382150 1.166591 1.003672 1.000772 1.000013 1.000015
416.500000 0.803306 2.035470 0.158377 0.114730 0.005703 0.024333 1.357173 10.954767 2.666804 3.642832 0.679781 4.490347 1.063382 3.030825 0.209796 0.144132 0.006797 0.028518 1.378348 1.162473 1.003566 1.000787 1.000013 1.000016
417.000000 0.829657 2.107618 0.168811 0.113535 0.005558 0.025409 1.364976 11.244950 2.750062 3.541195 0.635634 4.564433 1.063243 3.132065 0.217277 0.142463 0.006446 0.029755 1.374525 1.157791 1.003463 1.000801 1.000012 1.000016
417.500000 0.857155 2.175911 0.180090 0.112433 0.005421 0.026564 1.373441 11.509840 2.839037 3.445429 0.595151 4.646429 1.063586 3.227242 0.225257 0.140915 0.006119 0.031083 1.370696 1.152598 1.003361 1.000816 1.000012 1.000017
418.000000 0.885915 2.240081 0.192304 0.111426 0.005294 0.027806 1.382659 11.748693 2.934323 3.355337 0.558082 4.737136 1.064489 3.316021 0.233788 0.139491 0.005817 0.032511 1.366876 1.146953 1.003262 1.000831 1.000012 1.000017
418.500000 0.916051 2.299991 0.205568 0.110512 0.005177 0.029149 1.392718 11.961495 3.036767 3.270678 0.524135 4.837820 1.066014 3.398244 0.242944 0.138190 0.005538 0.034055 1.363070 1.140913 1.003164 1.000846 1.000012 1.000018
419.000000 0.947752 2.356217 0.220021 0.109697 0.005069 0.030607 1.403765 12.151836 3.147346 3.191313 0.493096 4.949915 1.068282 3.474829 0.252810 0.137017 0.005280 0.035731 1.359296 1.134566 1.003068 1.000860 1.000011 1.000019
419.500000 0.981065 2.408361 0.235784 0.108976 0.004971 0.032192 1.415815 12.318419 3.266833 3.116993 0.464692 5.074608 1.071299 3.545237 0.263454 0.135967 0.005042 0.037553 1.355557 1.127965 1.002973 1.000875 1.000011 1.000020
420.000000 1.016064 2.455534 0.253006 0.108343 0.004880 0.033918 1.428841 12.457254 3.396054 3.047253 0.438611 5.212905 1.075024 3.608192 0.274950 0.135030 0.004821 0.039538 1.351847 1.121140 1.002879 1.000889 1.000011 1.000021
420.500000 1.052752 2.496786 0.271819 0.107791 0.004796 0.035797 1.442791 12.564384 3.535645 2.981793 0.414624 5.365659 1.079410 3.662345 0.287356 0.134199 0.004616 0.041698 1.348166 1.114145 1.002787 1.000903 1.000011 1.000021
