4.000000000000000000e+02 1.510255924656753006e-02 5.286731346494660463e-03 1.200833535189429151e-04 4.394310979160986788e-05 6.040010466578057253e-07 2.259355273760748965e-07
4.003338898163606245e+02 1.511532623000236969e-02 5.183431056837157005e-03 1.199372879416916223e-04 4.310338859676819814e-05 6.013897952803751166e-07 2.213656987532619942e-07
4.006677796327211922e+02 1.512514761993151782e-02 5.080178782788772468e-03 1.197610997138457491e-04 4.226037810586353227e-05 5.986051394291323885e-07 2.167819677680073156e-07
4.010016694490818168e+02 1.513278486601075598e-02 4.977519234247975745e-03 1.195616479213281781e-04 4.141893006818773743e-05 5.956864169194815064e-07 2.122100606916845884e-07
4.013355592654423845e+02 1.513905350259695491e-02 4.876189920276714600e-03 1.193464562688079518e-04 4.058543058288036412e-05 5.926786035755432691e-07 2.076834536825199018e-07
4.016694490818030090e+02 1.514476412124974615e-02 4.777127783517800055e-03 1.191227249020023729e-04 3.976772936503290227e-05 5.896260047808603278e-07 2.032426743045568876e-07
4.020033388981636335e+02 1.515155037535960425e-02 4.680885046401602259e-03 1.189046738603331057e-04 3.897113980895612303e-05 5.866034686376695957e-07 1.989161251305421331e-07
4.023372287145242012e+02 1.516025706451663846e-02 4.588228879737124045e-03 1.187005610103799414e-04 3.820235536715579808e-05 5.836618605911379913e-07 1.947386709664587446e-07
4.026711185308848258e+02 1.517191696609684198e-02 4.499443042549016933e-03 1.185193921451809461e-04 3.746421566755728472e-05 5.808483764974392111e-07 1.907253189778090616e-07
4.030050083472453935e+02 1.518732003781052275e-02 4.414630205275771324e-03 1.183680958638463502e-04 3.675799890281227313e-05 5.781985250816289612e-07 1.868828915097073650e-07
4.033388981636060180e+02 1.520692705275243986e-02 4.333760578199114324e-03 1.182509127056259628e-04 3.608378693768320953e-05 5.757340818725012311e-07 1.832118918526558842e-07
4.036727879799665857e+02 1.523165585400071929e-02 4.257010683040310384e-03 1.181761054520884962e-04 3.544345567418832963e-05 5.734982172798735404e-07 1.797221577417818905e-07
4.040066777963272102e+02 1.526257530777668132e-02 4.183913728660959737e-03 1.181525275734482150e-04 3.483379747895302861e-05 5.715278089783179976e-07 1.763978000655795719e-07
4.043405676126878348e+02 1.529935197036495775e-02 4.114143568799209782e-03 1.181777880092213826e-04 3.425218220724447402e-05 5.698099345012353105e-07 1.732250755260065852e-07
4.046744574290484024e+02 1.534266690637576397e-02 4.047406306722019231e-03 1.182575448186714222e-04 3.369653827049957424e-05 5.683676888007058872e-07 1.701935441523377725e-07
4.050083472454090270e+02 1.539310225336957064e-02 3.983513671285648754e-03 1.183966968412667603e-04 3.316556749017145742e-05 5.672215738029689779e-07 1.672966050596460639e-07
4.053422370617695947e+02 1.545091297082232772e-02 3.922370313097289091e-03 1.185975075091652976e-04 3.265857558605251892e-05 5.663809372603056962e-07 1.645305076639218852e-07
4.056761268781302192e+02 1.551654917681747313e-02 3.863948791382631164e-03 1.188639238686597330e-04 3.217546622682735020e-05 5.658636817556631043e-07 1.618946164014818560e-07
4.060100166944908437e+02 1.558863096383344797e-02 3.807580320287088163e-03 1.191829708886384316e-04 3.171020369155553843e-05 5.655968357022969229e-07 1.593568760145379597e-07
4.063439065108514114e+02 1.566424742032851078e-02 3.752810627983362447e-03 1.195296392592254159e-04 3.125804515098274295e-05 5.654574484286928404e-07 1.568912101904803912e-07
4.066777963272120360e+02 1.574204557230366591e-02 3.699208268333096031e-03 1.198917115490841202e-04 3.081499681952465575e-05 5.653812801068684351e-07 1.544763324149405558e-07
4.070116861435726037e+02 1.582051668603910027e-02 3.646396276134983468e-03 1.202558492012968129e-04 3.037749911928748297e-05 5.653004371006444647e-07 1.520932354798467218e-07
4.073455759599332282e+02 1.589784831867983167e-02 3.594073171878564045e-03 1.206064438770746805e-04 2.994256104902129006e-05 5.651387999575900445e-07 1.497257999657285334e-07
4.076794657762937959e+02 1.597130795520644575e-02 3.541879238816415809e-03 1.209200272325223363e-04 2.950645388908065302e-05 5.647836538724716450e-07 1.473537859035529658e-07
4.080133555926544204e+02 1.603871771018442957e-02 3.489182010577083874e-03 1.211773083187387263e-04 2.906344758188828935e-05 5.641369217560015974e-07 1.449472926833443410e-07
4.083472454090150450e+02 1.610059499754941392e-02 3.436285839951991935e-03 1.213835964580333544e-04 2.861640136734523848e-05 5.632310635533792105e-07 1.425215157724434094e-07
4.086811352253756127e+02 1.615768162888172113e-02 3.383248215998680905e-03 1.215453833843359451e-04 2.816617090366830710e-05 5.620982896011120962e-07 1.400814846234795426e-07
4.090150250417362372e+02 1.621064363901733932e-02 3.330205943347519602e-03 1.216686600446088547e-04 2.771421723368957954e-05 5.607698085960868930e-07 1.376351903874216227e-07
4.093489148580968049e+02 1.625999902441181005e-02 3.277379697445578256e-03 1.217583969929846510e-04 2.726263672677744083e-05 5.592739627013239874e-07 1.351937111916838438e-07
4.096828046744574294e+02 1.630608643546199027e-02 3.224975306492223245e-03 1.218182094093491733e-04 2.681336613279340070e-05 5.576332272145065451e-07 1.327672351260065460e-07
4.100166944908180540e+02 1.635044360569979857e-02 3.173028646255978899e-03 1.218609751520214441e-04 2.636722294250996650e-05 5.559065325289435139e-07 1.303607217246426740e-07
4.103505843071786217e+02 1.639389448380022818e-02 3.121879813627025275e-03 1.218945513477577005e-04 2.592731206771136090e-05 5.541375405187367752e-07 1.279902485643805901e-07
4.106844741235392462e+02 1.643741964651003126e-02 3.071584066936053955e-03 1.219272032710908368e-04 2.549438986887988290e-05 5.523645277511230506e-07 1.256600109432848064e-07
