#       x [cm]         y [cm]         z [cm]     ExRe [V/m]     EyRe [V/m]     EzRe [V/m]     ExIm [V/m]     EyIm [V/m]     EzIm [V/m]  
#------------------------------------------------------------------------------------------------------------------------------------------
            0        5.05662        10.8912       0.523505    3.14339e-05   -0.000591579       0.519606    1.38913e-06   -0.000367389
            0        4.27868        10.8912       0.531501   -2.70877e-05    0.000167363       0.381425   -1.90388e-05    5.07842e-05
            0        3.50073        10.8912       0.615729    0.000125944   -0.000396672       0.271135    8.09719e-05   -0.000307831
            0        2.72279        10.8912       0.724041   -5.12299e-05    0.000106067       0.209856     -1.125e-05    1.16769e-05
            0        1.94485        10.8912       0.821106   -0.000250764   -0.000209961       0.197945   -8.09215e-06   -0.000179332
            0        1.16691        10.8912       0.884877    1.37286e-05   -7.05117e-05         0.2138    1.63933e-05   -0.000168169
            0       0.388971        10.8912       0.910341   -0.000130499   -0.000160869       0.228977   -2.41674e-05   -4.17928e-05
            0      -0.388971        10.8912       0.910341    0.000130499   -0.000160869       0.228977    2.41674e-05   -4.17928e-05
            0       -1.16691        10.8912       0.884877   -1.37286e-05   -7.05117e-05         0.2138   -1.63933e-05   -0.000168169
            0       -1.94485        10.8912       0.821106    0.000250764   -0.000209961       0.197945    8.09215e-06   -0.000179332
            0       -2.72279        10.8912       0.724041    5.12299e-05    0.000106067       0.209856      1.125e-05    1.16769e-05
            0       -3.50073        10.8912       0.615729   -0.000125944   -0.000396672       0.271135   -8.09719e-05   -0.000307831
            0       -4.27868        10.8912       0.531501    2.70877e-05    0.000167363       0.381425    1.90388e-05    5.07842e-05
            0       -5.05662        10.8912       0.523505   -3.14339e-05   -0.000591579       0.519606   -1.38913e-06   -0.000367389
            0       -5.83456        10.8912       0.619479    0.000193479    0.000161138       0.642923    0.000221291    0.000110367
            0        -6.6125        10.8912        0.78852   -0.000133478    0.000856101       0.705494   -0.000246235    0.000219742
            0         6.6125        10.1132      -0.470072    -0.00035051     0.00012224       0.999641    0.000392927     2.3541e-05
            0        5.83456        10.1132      -0.504055    3.51743e-05   -3.25817e-05       0.814904   -0.000133984    0.000228712
            0        5.05662        10.1132      -0.430792   -8.47399e-05    1.08683e-05       0.665668    8.81832e-05   -0.000169572
            0        4.27868        10.1132      -0.280888   -4.59493e-05   -1.44243e-05       0.608369     9.8462e-05    1.88278e-05
            0        3.50073        10.1132      -0.122568    0.000173226    0.000236493       0.644761    -0.00038448   -9.52656e-05
            0        2.72279        10.1132    -0.00762288    2.64972e-05   -3.86876e-05       0.731689    -0.00036332     8.4197e-05
            0        1.94485        10.1132       0.045485   -1.57319e-05    2.37354e-06       0.824767   -2.12557e-05   -6.17253e-05
            0        1.16691        10.1132      0.0545142    1.90863e-05    5.81615e-05       0.899963   -0.000240325    2.78347e-05
            0       0.388971        10.1132      0.0484535   -6.28512e-06    0.000158583       0.940825    0.000148585    0.000205743
            0      -0.388971        10.1132      0.0484535    6.28512e-06    0.000158583       0.940825   -0.000148585    0.000205743
            0       -1.16691        10.1132      0.0545142   -1.90863e-05    5.81615e-05       0.899963    0.000240325    2.78347e-05
            0       -1.94485        10.1132       0.045485    1.57319e-05    2.37354e-06       0.824767    2.12557e-05   -6.17253e-05
            0       -2.72279        10.1132    -0.00762288   -2.64972e-05   -3.86876e-05       0.731689     0.00036332     8.4197e-05
            0       -3.50073        10.1132      -0.122568   -0.000173226    0.000236493       0.644761     0.00038448   -9.52656e-05
            0       -4.27868        10.1132      -0.280888    4.59493e-05   -1.44243e-05       0.608369    -9.8462e-05    1.88278e-05
            0       -5.05662        10.1132      -0.430792    8.47399e-05    1.08683e-05       0.665668   -8.81832e-05   -0.000169572
            0       -5.83456        10.1132      -0.504055   -3.51743e-05   -3.25817e-05       0.814904    0.000133984    0.000228712
            0        -6.6125        10.1132      -0.470072     0.00035051     0.00012224       0.999641   -0.000392927     2.3541e-05
            0         6.6125        9.33529       -1.11092    1.05304e-06    7.99801e-06      -0.140423    -1.7773e-05    5.77718e-07
            0        5.83456        9.33529      -0.989836     0.00055967    0.000211743      -0.263218     0.00024296    0.000258115
            0        5.05662        9.33529      -0.807371   -0.000457608   -0.000121856      -0.268443    1.04409e-05   -0.000207184
            0        4.27868        9.33529      -0.670639    0.000349116    -0.00078259      -0.153696   -4.96012e-05    0.000122225
            0        3.50073        9.33529      -0.615158    0.000121794   -0.000216499      0.0202938    1.95281e-05   -9.83656e-05
            0        2.72279        9.33529      -0.648811    9.23557e-05    7.15426e-05       0.174016   -6.70135e-05   -6.85864e-05
            0        1.94485        9.33529      -0.733249   -6.05476e-05   -0.000326744       0.267396    3.06044e-05     4.3367e-05
            0        1.16691        9.33529      -0.815597    2.12962e-05    8.21238e-05        0.30407    2.95723e-05    1.87344e-05
            0       0.388971        9.33529      -0.865028    5.93888e-05   -2.81706e-05       0.311589   -1.06021e-06    6.81624e-06
            0      -0.388971        9.33529      -0.865028   -5.93888e-05   -2.81706e-05       0.311589    1.06021e-06    6.81624e-06
            0       -1.16691        9.33529      -0.815597   -2.12962e-05    8.21238e-05        0.30407   -2.95723e-05    1.87344e-05
            0       -1.94485        9.33529      -0.733249    6.05476e-05   -0.000326744       0.267396   -3.06044e-05     4.3367e-05
            0       -2.72279        9.33529      -0.648811   -9.23557e-05    7.15426e-05       0.174016    6.70135e-05   -6.85864e-05
            0       -3.50073        9.33529      -0.615158   -0.000121794   -0.000216499      0.0202938   -1.95281e-05   -9.83656e-05
            0       -4.27868        9.33529      -0.670639   -0.000349116    -0.00078259      -0.153696    4.96012e-05    0.000122225
            0       -5.05662        9.33529      -0.807371    0.000457608   -0.000121856      -0.268443   -1.04409e-05   -0.000207184
            0       -5.83456        9.33529      -0.989836    -0.00055967    0.000211743      -0.263218    -0.00024296    0.000258115
            0        -6.6125        9.33529       -1.11092   -1.05304e-06    7.99801e-06      -0.140423     1.7773e-05    5.77718e-07
            0         6.6125        8.55735      -0.208944   -0.000192595    0.000102539       -1.10624   -0.000463744    0.000394742
            0        5.83456        8.55735      -0.044102   -7.32853e-05   -5.03294e-05       -1.06598   -0.000146841   -0.000177967
            0        5.05662        8.55735      0.0573088   -9.08637e-05   -0.000287961      -0.918081    0.000165985     0.00056056
            0        4.27868        8.55735      0.0263888    3.30002e-05   -4.95835e-05      -0.723405    5.59938e-05   -8.37259e-05
            0        3.50073        8.55735      -0.113388    3.96282e-05   -4.52172e-05      -0.585632    0.000107087   -0.000149444
            0        2.72279        8.55735      -0.288541    -1.3322e-06   -3.86112e-05      -0.554018   -5.22567e-05   -4.71607e-05
            0        1.94485        8.55735      -0.432225    5.79594e-05    7.27939e-05      -0.606685    4.45375e-05    9.50084e-05
            0        1.16691        8.55735      -0.520343   -0.000129812    0.000204263      -0.687333   -0.000107039    0.000779158
            0       0.388971        8.55735      -0.556109    9.36625e-05   -0.000202097      -0.737494    0.000140258   -0.000194707
            0      -0.388971        8.55735      -0.556109   -9.36625e-05   -0.000202097      -0.737494   -0.000140258   -0.000194707
            0       -1.16691        8.55735      -0.520343    0.000129812    0.000204263      -0.687333    0.000107039    0.000779158
            0       -1.94485        8.55735      -0.432225   -5.79594e-05    7.27939e-05      -0.606685   -4.45375e-05    9.50084e-05
            0       -2.72279        8.55735      -0.288541     1.3322e-06   -3.86112e-05      -0.554018    5.22567e-05   -4.71607e-05
